Date,AAPL,MMM,INTC,JPM,DE,WFC,BK,PM,HD,GE
2017-08-10,155.27,206.23,36.12,92.19,127.78,51.95,51.95,114.22,153.88,25.3
2017-08-11,157.48,205.98,35.87,91.42,126.7,51.94,52.19,114.88,154.88,25.2
2017-08-14,159.85,207.37,36.34,92.49,128.57,52.84,52.83,114.76,154.26,25.36
2017-08-15,161.6,207.18,36.0,92.73,127.18,52.85,53.15,116.82,150.17,25.14
2017-08-16,160.95,207.92,35.82,92.09,126.63,52.69,52.88,117.73,152.25,25.1
2017-08-17,157.87,205.35,35.17,90.65,123.98,51.8,51.8,115.93,149.67,24.75
2017-08-18,157.5,203.53,35.01,90.74,117.31,51.68,52.1,115.33,147.49,24.55
2017-08-21,157.21,204.55,34.92,90.63,116.52,51.82,52.19,116.25,149.2,24.49
2017-08-22,159.78,205.46,34.65,91.56,117.48,52.22,52.66,116.23,149.91,24.6
2017-08-23,159.98,202.67,34.66,91.67,116.45,52.03,52.77,115.46,149.1,24.39
2017-08-24,159.27,202.12,34.71,91.52,115.44,52.16,52.79,114.52,148.25,24.3
2017-08-25,159.86,202.13,34.67,91.89,115.84,51.77,52.65,114.8,149.65,24.49
2017-08-28,161.47,202.46,34.65,91.6,115.96,51.63,52.27,115.54,151.39,24.47
2017-08-29,162.91,202.92,34.73,91.1,115.89,51.42,52.09,116.55,149.84,24.44
2017-08-30,163.35,203.69,34.89,91.31,115.49,51.36,52.36,116.43,150.0,24.28
2017-08-31,164.0,204.32,35.07,90.89,115.93,51.07,52.28,116.93,149.87,24.55
2017-09-01,164.05,203.56,35.085,91.7,116.14,50.97,52.33,117.83,150.78,25.14
2017-09-05,162.08,200.98,35.02,89.51,115.53,50.1,51.2,117.67,152.93,24.76
2017-09-06,161.91,202.05,35.76,90.11,116.22,49.88,51.27,118.62,156.56,24.92
2017-09-07,161.26,204.46,35.54,88.53,116.33,49.68,50.28,118.92,157.93,24.02
2017-09-08,158.63,205.69,35.19,88.42,117.3,49.58,50.43,117.06,159.66,23.82
2017-09-11,161.5,209.56,35.77,89.79,117.93,50.66,51.53,117.93,158.37,23.72
2017-09-12,160.82,209.64,36.09,90.89,117.26,51.57,51.99,117.05,159.91,23.91
2017-09-13,159.65,209.49,36.33,91.15,117.37,51.46,51.59,116.86,160.02,24.11
2017-09-14,158.28,211.43,36.48,90.97,118.37,51.29,51.13,116.73,159.38,24.26
2017-09-15,159.88,213.35,37.0,91.62,119.01,51.66,51.56,115.79,158.4,23.93
2017-09-18,158.67,213.76,37.0,92.92,119.89,52.71,51.7,116.08,157.81,24.46
2017-09-19,158.73,213.56,37.23,93.94,123.08,53.36,52.04,115.36,157.66,24.2
2017-09-20,156.07,210.51,37.07,94.6,123.95,53.75,52.4,113.43,158.68,24.32
2017-09-21,153.39,210.44,37.2,95.03,124.78,54.06,52.42,112.92,159.19,24.75
2017-09-22,151.89,210.76,37.18,94.83,123.75,54.25,52.37,112.51,159.97,24.87
2017-09-25,150.55,210.73,37.16,94.12,123.77,54.03,52.2,113.25,161.1,25.11
2017-09-26,153.14,211.03,37.47,93.7,123.28,53.8,52.12,112.21,161.26,24.93
2017-09-27,154.23,209.48,37.54,95.18,123.32,54.21,52.76,111.61,160.92,24.37
2017-09-28,153.28,209.55,37.83,95.38,123.66,54.25,53.01,111.8,162.36,24.24
2017-09-29,154.12,209.9,38.08,95.51,125.59,55.15,53.02,111.01,163.56,24.18
2017-10-02,153.81,212.76,39.04,96.84,127.29,55.47,53.65,110.87,164.02,24.57
2017-10-03,154.48,214.57,39.38,97.35,128.1,55.58,53.8,110.19,165.17,24.8
2017-10-04,153.4508,216.52,39.34,96.36,128.33,54.96,53.8,111.42,165.29,24.48
2017-10-05,155.39,216.37,39.53,97.09,128.01,55.39,54.43,111.54,166.12,24.54
2017-10-06,155.3,216.52,39.63,96.92,128.13,55.58,54.47,111.27,165.85,24.39
2017-10-09,155.84,216.68,39.86,96.41,128.64,55.14,54.33,113.37,165.71,23.43
2017-10-10,155.9,216.75,39.65,97.13,128.25,55.61,54.66,115.17,165.16,23.36
2017-10-11,156.55,216.51,39.3,96.84,127.77,55.66,54.88,114.26,165.25,23.07
2017-10-12,156.0,217.59,39.19,95.99,128.5,55.21,54.74,114.53,164.59,23.05
2017-10-13,156.99,217.72,39.67,95.86,127.91,53.69,54.67,113.99,164.47,22.98
2017-10-16,159.88,218.72,39.76,97.84,127.72,53.8,54.71,113.52,164.22,23.36
2017-10-17,160.47,217.75,39.79,97.62,128.69,53.19,53.96,112.65,163.35,23.19
2017-10-18,159.76,218.27,40.25,97.99,128.72,53.41,54.46,112.51,163.45,23.12
2017-10-19,155.98,219.24,40.09,98.11,128.52,53.75,52.85,108.15,163.24,23.58
2017-10-20,156.16,221.32,40.43,99.51,129.15,54.92,53.12,109.52,163.43,23.83
2017-10-23,156.17,221.55,40.83,99.34,129.59,54.91,52.51,109.36,164.74,22.32
2017-10-24,157.1,234.65,40.95,100.92,131.02,55.42,52.88,108.57,166.03,21.89
2017-10-25,156.405,237.92,40.78,101.05,130.58,55.265,51.76,106.97,166.1076,21.525
2017-10-26,157.41,232.94,41.35,101.74,132.14,55.62,52.22,106.93,167.65,21.32
2017-10-27,163.05,234.74,44.4,101.77,133.25,55.87,52.14,105.94,167.34,20.79
2017-10-30,166.72,231.02,44.37,101.41,132.3,55.85,51.65,104.7,165.31,20.41
2017-10-31,169.04,230.19,45.49,100.61,132.88,56.14,51.45,104.64,165.78,20.16
2017-11-01,166.89,230.18,46.71,100.92,134.27,56.21,51.65,103.75,165.38,20.02
2017-11-02,168.11,232.23,47.1,101.59,134.44,56.48,51.4,102.8,162.71,19.94
2017-11-03,172.5,232.22,46.34,101.41,135.03,56.35,51.33,102.66,164.39,20.14
2017-11-06,174.25,230.31,46.7,100.78,135.31,56.18,51.35,102.14,164.22,20.13
2017-11-07,174.81,230.05,46.78,98.75,135.71,55.05,51.07,103.02,163.66,20.21
2017-11-09,175.88,228.39,46.3,97.63,131.28,54.0,50.82,102.46,163.27,19.99
2017-11-10,174.67,,45.58,97.51,132.23,53.81,50.93,103.02,164.11,20.49
2017-11-13,173.97,,45.75,97.86,131.91,53.72,51.02,103.51,165.35,19.02
2017-11-14,171.34,,45.86,97.27,132.88,54.04,51.85,102.72,168.06,17.9
2017-11-15,169.08,227.4,45.46,98.19,132.27,53.75,51.94,102.05,165.47,18.26
2017-11-16,171.1,,45.65,98.47,134.61,54.6,52.23,102.66,167.5,18.25
2017-11-17,170.15,229.36,44.63,98.14,135.77,54.15,52.47,102.64,167.74,18.21
2017-11-20,169.98,231.49,44.62,99.01,136.92,54.05,52.52,102.54,170.45,17.98
2017-11-21,173.14,234.09,44.94,98.93,139.23,54.52,52.42,103.36,172.86,17.83
2017-11-22,174.96,,44.65,98.64,145.25,54.06,52.43,103.54,172.06,18.15
2017-11-24,174.97,,44.75,98.32,145.5,54.09,52.23,103.18,172.33,18.19
2017-11-27,174.09,234.0,44.49,97.93,148.77,53.95,52.18,102.72,174.16,18.12
2017-11-28,173.07,235.63,44.73,101.36,149.38,55.57,53.13,102.88,176.57,18.41
2017-11-29,169.48,,43.95,103.73,148.44,56.68,54.41,102.68,177.25,18.48
2017-11-30,171.85,,44.84,104.52,149.86,56.47,54.74,102.75,179.82,18.29
2017-12-01,171.05,,44.68,104.79,149.94,56.2,54.45,103.71,180.42,17.88
2017-12-04,169.8,,44.49,106.95,150.97,57.39,54.97,104.61,184.9,17.95
2017-12-05,169.64,238.26,43.44,105.72,150.67,58.55,54.43,105.46,182.85,17.76
2017-12-06,169.01,,43.45,104.93,149.45,58.57,54.02,107.6,180.8,17.66
2017-12-07,169.452,,43.08,104.62,151.11,59.36,54.22,106.7,182.0,17.71
2017-12-08,169.37,,43.35,105.93,151.58,59.31,54.67,106.59,183.41,17.71
2017-12-11,172.67,,43.66,105.62,151.33,58.87,54.54,106.04,182.25,17.65
2017-12-12,171.7,,43.33,106.85,151.07,60.33,54.97,107.3,181.8,17.91
2017-12-13,172.27,,43.34,105.51,151.95,59.4,54.38,108.24,183.03,17.76
2017-12-14,172.22,,43.26,104.66,149.44,59.22,54.02,107.68,182.13,17.64
2017-12-15,173.87,,44.56,106.14,150.87,59.87,54.2,109.68,182.58,17.82
2017-12-18,176.42,,46.26,106.96,154.04,60.92,54.42,107.97,184.73,17.76
2017-12-19,174.54,,47.04,106.51,154.48,60.36,54.2,108.12,185.98,17.59
2017-12-20,174.35,,47.56,106.14,154.37,60.14,53.95,104.37,187.31,17.45
2017-12-21,175.01,,46.76,107.83,155.86,61.61,54.36,104.78,188.08,17.47
2017-12-22,175.01,,46.7,107.45,157.53,61.55,54.0,104.65,188.13,17.5
2017-12-26,170.57,,46.08,107.02,158.75,61.13,53.81,104.11,190.36,17.43
2017-12-27,170.6,,46.11,107.22,158.58,60.95,53.84,104.71,190.19,17.38
2017-12-28,171.08,,46.22,107.79,157.7,61.3,54.12,104.81,189.78,17.36
2017-12-29,169.23,,46.16,106.94,156.51,60.67,53.86,105.65,189.53,17.45
2018-01-02,172.26,,46.83,107.95,158.01,61.09,53.82,104.39,188.03,17.98
2018-01-03,172.23,,45.26,108.06,158.73,61.56,54.15,104.26,189.01,18.15
2018-01-04,173.03,,44.43,109.04,159.64,62.33,54.69,103.47,190.51,18.53
2018-01-05,175.0,,44.74,108.34,160.32,62.75,54.83,104.3,192.5,18.54
2018-01-08,174.35,,44.74,108.5,161.11,62.04,55.06,104.14,192.04,18.28
2018-01-09,174.33,,43.62,109.05,165.6,62.26,55.56,104.89,193.1,18.56
2018-01-10,174.29,,42.5,110.25,164.94,63.12,57.3,105.63,191.8,18.929
2018-01-11,175.28,,43.41,110.84,167.46,63.01,57.83,104.86,194.68,19.02
2018-01-12,177.09,,43.21,112.67,169.3,62.55,58.42,104.5,196.42,18.76
2018-01-16,176.19,,43.14,112.27,167.54,62.5,57.54,104.87,196.31,18.21
2018-01-17,179.1,,44.39,112.99,167.43,63.88,57.89,105.79,199.82,17.35
2018-01-18,179.26,,44.48,113.26,167.9,63.95,55.35,105.07,198.33,16.77
2018-01-19,178.46,,44.82,113.01,170.32,64.22,56.61,108.92,201.33,16.26
2018-01-22,177.0,,45.75,114.33,170.38,64.73,57.72,108.81,204.46,16.17
2018-01-23,177.04,,46.06,114.21,168.66,64.49,57.72,109.53,204.9,16.89
2018-01-24,174.22,,45.5,115.67,169.6,65.48,57.77,110.6,206.22,16.44
2018-01-25,171.11,,45.3,115.7,169.13,65.65,56.85,107.49,205.37,16.18
2018-01-26,171.51,,50.08,116.32,171.49,65.93,57.78,110.19,207.23,16.13
2018-01-29,167.96,,49.98,116.2,169.18,65.82,57.52,108.61,204.92,16.28
2018-01-30,166.97,,48.79,115.11,168.51,65.28,56.7,107.94,201.81,15.95
2018-01-31,167.43,,48.14,115.67,166.42,65.78,56.7,107.23,200.9,16.17
2018-02-01,167.78,,47.65,116.87,167.85,65.51,57.5,105.17,199.9,16.02
2018-02-02,160.37,,46.15,114.28,164.96,64.07,56.33,103.44,193.97,15.64
2018-02-05,157.49,,44.88,108.8,157.02,58.16,54.38,98.69,183.11,14.91
2018-02-06,163.03,,44.91,112.11,161.88,57.28,55.49,100.33,191.04,15.27
2018-02-07,159.54,,45.2,112.87,161.44,57.54,55.34,98.88,191.29,15.25
2018-02-08,155.32,,42.75,107.88,153.66,55.4,53.29,100.39,181.22,14.45
2018-02-09,155.97,,43.87,110.04,154.93,56.13,54.08,99.94,184.12,14.94
2018-02-12,162.71,,44.83,111.74,159.21,56.5,54.61,102.4,184.06,14.82
2018-02-13,164.34,,44.46,112.43,161.3,58.0,54.81,103.05,183.72,14.67
2018-02-14,167.37,,45.38,115.03,163.28,59.55,55.98,102.54,184.69,14.9
2018-02-15,172.99,,45.92,115.51,166.81,60.02,56.16,103.69,185.27,14.85
2018-02-16,172.43,,45.56,114.68,169.44,59.95,56.25,104.31,186.97,15.05
2018-02-20,171.85,,46.32,114.71,164.77,59.95,56.42,102.85,186.71,14.74
2018-02-21,171.07,,45.94,115.19,162.09,59.73,56.45,103.72,183.06,14.49
2018-02-22,172.6,,45.8,114.98,164.16,58.81,55.9,102.98,185.47,14.62
2018-02-23,175.555,,47.73,117.31,166.24,59.17,56.9,106.11,188.35,14.49
2018-02-26,178.97,,49.11,118.77,167.46,59.97,58.18,106.68,188.46,14.65
2018-02-27,178.39,,49.91,117.36,163.58,59.21,57.99,104.08,184.98,14.5
2018-02-28,178.12,,49.29,115.5,160.87,58.41,57.03,103.55,182.27,14.11
2018-03-01,175.0,231.34,47.84,113.43,156.81,57.31,55.51,104.68,179.64,14.02
2018-03-02,176.21,230.37,48.98,113.32,153.31,57.41,55.37,106.81,178.46,14.12
2018-03-05,176.82,232.81,49.75,115.06,157.54,57.59,56.41,107.7,181.74,14.42
2018-03-06,176.67,233.66,50.71,115.16,158.51,57.07,56.87,107.98,181.64,14.64
2018-03-07,175.03,235.57,51.32,114.73,157.9,56.6,56.9,106.89,178.58,14.51
2018-03-08,176.94,,50.74,114.74,161.06,56.72,55.69,109.0,177.94,14.52
2018-03-09,179.98,,52.19,118.04,167.93,58.23,57.23,108.3,182.16,14.94
2018-03-12,181.72,,51.52,117.66,164.03,58.02,56.44,107.14,179.71,15.1
2018-03-13,179.97,,51.78,116.25,161.32,57.56,55.96,107.24,178.35,14.43
2018-03-14,178.44,,51.86,114.95,160.21,56.63,54.87,105.61,177.41,14.27
2018-03-15,178.65,,50.88,115.24,159.6,56.83,54.85,104.99,178.07,14.36
2018-03-16,178.02,,51.17,115.44,163.88,55.9,55.0,103.46,178.96,14.31
2018-03-19,175.3,,50.83,114.53,159.53,55.48,54.34,101.74,177.1,14.07
2018-03-20,175.24,,51.55,114.64,159.99,54.9,54.43,100.27,178.16,13.64
2018-03-21,171.27,,51.56,114.74,158.05,54.79,54.61,97.75,178.02,13.88
2018-03-22,168.845,,50.83,109.95,151.58,52.53,52.02,97.67,175.29,13.35
2018-03-23,164.94,,49.36,107.01,148.0,50.98,50.73,95.63,171.8,13.07
2018-03-26,172.77,,52.48,110.31,153.34,52.29,52.14,96.35,176.38,12.89
2018-03-27,168.34,,51.19,108.17,152.16,51.1,50.72,96.73,174.68,13.44
